0京都府- 京都府
1伊丹市  - 伊丹市
2RTX1200    - RTX1200
3ルータ23      - ルータ23
1宇治市  - 宇治市
2RTX1100    - RTX1100
3ルータ20      - ルータ20
2RTX1200    - RTX1200
3ルータ19      - ルータ19
3ルータ21      - ルータ21
3ルータ22      - ルータ22
1京都市  - 京都市
2RTX1100    - RTX1100
3ルータ16      - ルータ16
2RTX1200    - RTX1200
3ルータ13      - ルータ13
3ルータ14      - ルータ14
3ルータ15      - ルータ15
3ルータ17      - ルータ17
3ルータ18      - ルータ18
0大阪府- 大阪府
1大阪市  - 大阪市
2RTX1100    - RTX1100
3ルータ4      - ルータ4
2RTX1200    - RTX1200
3ルータ１      - ルータ１
3ルータ2      - ルータ2
3ルータ3      - ルータ3
1東大阪市  - 東大阪市
2RTX1200    - RTX1200
3ルータ5      - ルータ5
3ルータ6      - ルータ6
3ルータ7      - ルータ7
1八尾市  - 八尾市
2RTX1200    - RTX1200
3ルータ10      - ルータ10
3ルータ11      - ルータ11
3ルータ12      - ルータ12
3ルータ8      - ルータ8
3ルータ9      - ルータ9
0兵庫県- 兵庫県
1神戸市  - 神戸市
2RTX1200    - RTX1200
3ルータ30      - ルータ30
3ルータ31      - ルータ31
3ルータ32      - ルータ32
3ルータ33      - ルータ33
3ルータ34      - ルータ34
1宝塚市  - 宝塚市
2RTX1100    - RTX1100
3ルータ26      - ルータ26
2RTX1200    - RTX1200
3ルータ24      - ルータ24
3ルータ25      - ルータ25
3ルータ27      - ルータ27
3ルータ28      - ルータ28
3ルータ29      - ルータ29
